player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Terrell Suggs,1326,ED,KC,18,4,4.4,100.0,6.9,4.4,4.4,0,0,0,0.0,16,29.1,62.2,30.8,65.6,73.0,28.0,0,37,28.6,2,0,6,118.8,8,37,539,6,1,8,0,136,101,3.9,17.0
Mike Adams,1972,S,HST,6,1,3.8,75.0,100.0,30.3,22.8,0,0,0,0.0,13,66.9,73.1,82.4,,78.8,85.0,0,8,0.0,0,0,0,124.0,3,96,96,1,4,4,2,19,17,0.2,6.3
Thomas Davis Sr.,2231,LB,LAC,16,8,3.8,73.2,95.5,7.3,5.3,0,0,3,4.2,27,55.7,61.7,33.9,71.5,67.4,47.9,0,27,19.3,11,2,3,92.0,52,402,421,18,38,71,1,412,307,1.1,7.9
Lorenzo Alexander,2476,ED,BUF,17,4,3.6,88.2,29.1,5.5,4.9,0,1,2,11.8,4,66.3,64.3,67.3,68.4,52.7,65.1,0,15,6.3,1,2,1,113.0,15,92,316,8,11,17,1,109,67,1.3,7.3
Johnathan Joseph,2969,CB,HST,14,4,12.0,61.5,99.5,8.1,5.0,2,2,13,16.7,13,65.0,64.0,86.0,75.9,48.7,37.2,1,60,14.8,8,11,3,90.1,48,412,414,11,42,78,2,627,210,1.6,13.1
Domata Peko Sr.,3068,DI,BLT,8,0,,,3.0,,,0,0,0,,3,61.7,58.7,45.1,55.4,61.8,36.2,0,,100.0,1,0,1,0.0,0,2,67,0,0,0,0,0,0,0.0,
Antoine Bethea,3152,S,NYG,16,2,12.3,69.2,98.9,33.9,23.5,0,0,5,19.2,21,62.4,69.3,86.8,63.1,81.2,70.3,1,45,15.0,9,5,1,135.4,18,650,657,7,49,26,5,340,137,0.6,18.9
Tramon Williams,3558,CB,GB,18,5,8.7,63.5,98.2,12.8,8.1,0,2,8,12.7,12,78.0,71.7,36.2,54.3,45.4,69.6,2,61,5.9,2,5,5,86.5,40,539,549,10,27,63,2,517,239,1.0,12.9
Eric Weddle,3653,S,LA,16,10,7.5,75.0,99.0,27.4,20.6,1,1,3,10.7,26,70.5,69.0,66.8,73.0,63.4,79.7,0,18,4.9,3,2,2,128.0,21,614,620,8,48,28,3,186,138,0.3,8.9
Dominique Rodgers-Cromartie,4330,CB,WAS,2,1,7.1,85.7,100.0,5.2,4.4,0,0,0,0.0,32,41.5,42.6,77.7,,51.3,32.2,0,16,20.0,1,0,0,106.0,6,33,33,0,3,7,0,66,20,2.1,11.0
Aqib Talib,4334,CB,LA,5,1,11.7,52.0,100.0,14.6,7.6,2,0,3,12.0,26,55.8,55.4,82.7,,52.4,33.2,0,30,15.4,2,2,2,112.2,13,205,205,2,10,25,3,163,41,0.9,12.5
Calais Campbell,4364,DI,JAX,16,1,,,0.4,,,0,0,0,,15,69.4,90.3,35.7,81.4,90.6,29.6,0,,33.3,2,0,8,0.0,0,2,517,8,3,0,0,0,0,0.0,
Brandon Carr,4454,CB,BLT,17,2,9.9,62.7,93.3,12.4,7.7,1,1,5,8.5,3,66.0,66.4,86.3,66.2,58.9,53.8,0,33,15.0,6,4,3,102.1,37,501,537,11,32,59,4,356,143,0.8,9.6
Orlando Scandrick,4457,CB,PHI,3,0,7.5,50.0,91.8,25.5,12.8,0,0,0,0.0,24,64.3,91.7,78.2,99.9,73.8,56.4,0,15,0.0,0,0,0,61.5,2,56,61,4,3,4,0,17,4,0.3,8.5
