player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Thomas Davis Sr.,2231,LB,WAS,7,2,2.9,85.7,93.2,10.8,9.3,0,0,1,14.3,32,68.0,54.8,77.5,50.9,40.9,79.3,0,16,0.0,0,1,0,93.5,6,69,74,1,3,7,0,45,19,0.7,7.5
Johnathan Joseph,2969,CB,ARZ,11,1,11.8,63.2,98.5,10.1,6.4,0,0,6,15.8,1,63.1,65.4,84.9,55.7,71.7,47.5,1,71,12.5,3,5,1,112.6,24,260,264,1,20,38,4,308,98,1.3,12.8
Domata Peko Sr.,3068,DI,ARZ,6,1,-3.0,100.0,1.2,1.0,1.0,0,0,0,0.0,1,58.9,46.7,83.8,56.8,44.1,56.4,0,3,33.3,1,0,0,79.2,1,1,81,0,1,1,0,3,6,3.0,3.0
Tramon Williams,3558,CB,GB,7,1,7.2,76.5,92.0,9.1,6.9,0,0,1,5.9,12,50.3,52.5,82.5,59.6,64.2,90.0,0,20,0.0,0,1,0,116.3,13,127,138,0,15,17,1,126,60,1.1,9.7
Calais Campbell,4364,DI,BLT,14,1,9.0,0.0,2.7,,9.0,0,1,1,100.0,3,65.9,74.7,41.4,73.0,67.5,43.6,0,,40.0,2,1,3,39.6,0,9,332,6,2,1,0,0,0,0.0,
Brandon Carr,4454,S,DAL,3,0,,,100.0,,,0,0,0,,9,49.2,54.4,74.9,,68.7,72.8,0,,,0,0,1,0.0,0,12,12,0,0,0,0,0,0,0.0,
Malcolm Jenkins,4937,S,NO,18,4,7.8,68.9,87.5,11.7,8.1,1,2,9,12.2,20,53.9,64.4,75.5,61.2,83.4,87.0,3,74,7.0,4,6,7,89.9,51,645,737,15,49,74,4,520,291,0.9,10.2
Jason McCourty,5127,CB,NE,16,7,13.8,63.6,98.8,18.7,11.9,0,1,3,9.1,19,51.8,55.7,86.1,51.8,71.4,86.6,0,41,3.3,1,3,3,135.0,21,416,421,3,22,33,4,319,72,0.8,15.2
Steve McLendon,5232,DI,TB,18,0,,,1.4,,,0,0,0,,30,52.1,67.5,58.7,62.2,71.1,64.4,0,,100.0,1,0,2,0.0,0,4,281,0,0,0,0,0,0,0.0,
Ndamukong Suh,5527,DI,TB,20,0,8.5,100.0,1.1,3.5,3.5,1,0,0,0.0,30,51.1,62.4,28.8,63.7,68.2,39.7,0,18,44.4,4,0,9,118.8,2,8,711,10,5,2,0,27,10,3.9,13.5
Joe Haden,5532,CB,PIT,14,2,14.7,51.5,100.0,14.2,7.3,0,2,10,14.7,25,69.6,66.6,86.0,,49.1,45.1,2,54,10.5,4,9,4,81.3,35,523,523,6,32,68,3,552,119,1.1,15.8
Brandon Graham,5538,ED,PHI,16,2,2.0,0.0,2.7,,11.0,0,0,0,0.0,24,58.4,81.5,57.7,80.8,73.3,29.9,0,,0.0,0,0,4,39.6,0,12,441,8,0,1,0,0,0,0.0,
Jason Pierre-Paul,5540,ED,TB,20,3,3.1,69.2,10.1,9.1,6.3,0,2,2,15.4,30,71.3,66.3,40.2,71.9,52.3,31.7,2,40,31.8,7,2,8,55.8,9,84,832,18,12,13,0,111,106,1.4,12.3
Kareem Jackson,5545,S,DEN,16,6,6.4,73.3,99.1,19.2,14.1,0,1,7,15.6,10,81.3,80.4,75.2,48.4,77.6,65.3,1,35,13.0,7,3,1,89.1,33,666,672,12,41,45,1,300,182,0.5,9.1
Devin McCourty,5552,S,NE,16,4,9.2,76.0,97.6,26.9,20.5,0,3,4,16.0,19,64.3,65.2,62.1,47.3,69.3,70.7,2,24,12.8,5,3,1,106.7,19,536,549,6,30,25,3,210,90,0.4,11.1
Jerry Hughes,5556,ED,BUF,18,0,8.5,100.0,6.6,7.5,7.5,3,0,1,25.0,4,55.9,75.6,49.5,86.5,57.7,41.5,1,23,25.0,1,0,5,79.2,4,32,486,10,3,4,0,58,24,1.9,14.5
Patrick Robinson,5557,CB,NO,8,0,14.6,65.2,99.4,9.7,6.3,0,0,2,8.7,20,56.9,61.8,81.7,57.9,79.1,75.0,2,25,10.0,1,1,2,53.9,15,158,159,2,9,23,0,186,30,1.3,12.4
Linval Joseph,5571,DI,LAC,16,1,,,0.5,,,0,0,0,,27,57.7,68.7,79.6,67.9,64.0,30.1,0,,37.5,3,0,1,0.0,0,2,411,1,4,0,0,0,0,0.0,
Carlos Dunlap,5579,ED,SEA,16,2,5.0,100.0,5.3,3.4,3.4,0,0,0,0.0,29,48.6,61.9,71.2,64.8,58.9,50.8,0,18,11.1,1,0,3,141.4,7,24,450,9,6,7,1,59,24,2.5,8.4
Sean Lee,5580,LB,DAL,9,3,6.8,83.3,96.6,15.8,13.2,0,0,0,0.0,9,56.4,34.8,79.0,53.4,28.8,32.2,0,19,14.3,1,0,0,100.0,5,84,87,0,3,6,0,48,23,0.6,9.6
Corey Peters,5607,DI,ARZ,9,0,6.0,100.0,0.8,2.0,2.0,1,0,0,0.0,1,41.2,61.4,51.8,64.7,62.6,45.2,0,9,0.0,0,0,2,104.2,1,2,238,2,2,1,0,9,3,4.5,9.0
Everson Griffen,5624,ED,DET,14,1,-1.0,100.0,3.9,13.0,13.0,0,0,0,0.0,11,49.4,63.2,27.7,73.6,54.5,60.8,0,21,0.0,0,0,5,118.8,1,13,332,6,0,1,0,21,22,1.6,21.0
Sherrick McManis,5667,S,CHI,7,0,16.0,50.0,95.8,22.0,11.0,0,0,0,0.0,6,30.3,29.6,74.4,60.0,60.0,77.3,1,12,0.0,0,0,0,29.2,1,23,24,0,1,2,0,12,15,0.5,12.0
Antonio Brown,5718,WR,TB,1,0,,,100.0,,,0,0,0,,30,60.0,61.2,60.0,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Tramaine Brock Sr.,5903,CB,DET,1,0,12.8,75.0,100.0,3.7,2.8,0,0,1,12.5,11,47.2,49.1,76.6,,60.4,63.9,0,22,16.7,1,0,1,99.0,6,27,27,1,5,8,0,66,18,3.0,11.0
Anthony Levine,6013,S,BLT,6,0,8.0,100.0,96.0,7.7,7.7,1,0,0,0.0,3,27.1,28.5,74.7,60.0,68.8,81.9,0,10,0.0,0,0,1,139.6,3,24,25,0,2,3,1,24,0,1.0,8.0
Andrew Sendejo,6118,S,CLV,16,10,14.4,58.7,99.2,21.9,12.9,0,1,5,10.9,8,43.2,45.5,44.7,60.8,53.3,50.3,0,47,9.1,5,3,2,117.1,27,625,630,6,40,46,5,330,105,0.6,12.2
Patrick Peterson,6157,CB,ARZ,16,2,12.1,66.7,99.4,12.8,8.6,4,0,6,8.0,1,53.1,55.2,69.6,52.5,66.4,64.4,3,52,10.9,5,4,12,100.8,50,691,695,7,39,75,5,677,206,1.1,13.5
Aldon Smith,6159,ED,DAL,16,0,3.5,100.0,5.1,11.5,11.5,3,0,0,0.0,9,55.5,66.3,30.9,70.0,64.1,41.3,0,16,71.4,5,0,6,118.8,2,24,468,6,2,2,0,28,21,1.2,14.0
J.J. Watt,6163,ED,HST,16,0,7.0,100.0,0.7,4.0,4.0,0,0,0,0.0,13,56.9,85.4,80.0,76.6,81.0,41.9,1,39,40.0,2,0,2,118.8,1,4,586,8,3,1,1,39,32,9.8,39.0
Robert Quinn,6166,ED,CHI,16,1,0.5,100.0,7.7,4.7,4.7,0,0,0,0.0,6,37.4,61.6,55.7,66.4,62.8,45.0,0,15,33.3,2,0,3,102.8,6,31,405,3,3,6,0,52,49,1.9,8.7
Ryan Kerrigan,6168,ED,WAS,17,0,-0.4,80.0,5.3,3.5,2.8,0,0,1,20.0,32,59.5,59.2,61.3,68.8,45.4,53.8,0,14,25.0,1,0,2,90.0,4,14,266,7,3,5,0,28,30,2.0,7.0
Adrian Clayborn,6172,ED,CLV,17,1,-6.0,100.0,1.5,4.0,4.0,2,0,0,0.0,8,68.4,57.8,65.0,61.8,46.4,60.7,0,-5,0.0,0,0,2,79.2,1,6,397,5,1,1,0,-5,1,-1.3,-5.0
Cameron Jordan,6176,ED,NO,18,1,-1.0,100.0,2.1,11.0,11.0,0,0,0,0.0,20,72.1,84.6,44.3,75.3,86.3,54.6,0,6,33.3,2,0,6,91.7,1,12,584,10,3,1,0,6,7,0.5,6.0
Jimmy Smith,6179,CB,BLT,13,2,9.4,55.9,99.0,19.2,10.7,0,0,3,8.8,3,73.3,70.5,17.7,63.6,55.1,50.5,0,21,13.3,4,1,3,69.6,19,389,393,8,24,34,0,171,68,0.5,9.0
Cameron Heyward,6183,DI,PIT,16,2,-5.0,100.0,0.4,1.0,1.0,0,0,0,0.0,25,61.4,89.5,79.3,79.6,83.0,52.0,1,-4,33.3,3,0,2,39.6,1,2,543,5,4,1,0,-4,1,-4.0,-4.0
Jabaal Sheard,6189,ED,NYG,10,0,1.0,100.0,5.5,3.0,3.0,0,0,0,0.0,21,56.7,66.5,61.5,62.4,70.0,61.2,0,6,33.3,2,0,1,79.2,3,10,181,3,4,3,0,5,2,0.6,1.7
Brooks Reed,6194,ED,TEN,3,0,,,3.4,,,0,0,0,,31,60.0,66.5,78.7,63.5,63.4,74.7,0,,,0,0,0,0.0,0,1,29,2,0,0,0,0,0,0.0,
Marcus Gilchrist,6202,S,BLT,2,0,10.0,66.7,97.4,17.0,11.3,0,0,0,0.0,3,55.8,56.1,73.1,60.0,62.1,78.8,0,16,0.0,0,0,0,93.8,2,37,38,0,2,3,0,26,2,0.8,13.0
