player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Calais Campbell,4364,DI,BLT,15,0,,,4.0,,,1,0,1,,3,57.1,76.9,75.7,71.7,74.1,34.9,0,,100.0,5,0,1,0.0,0,17,420,5,0,0,0,0,0,0.0,
Brandon Graham,5538,ED,PHI,20,2,-1.5,100.0,3.9,6.5,6.5,0,0,0,0.0,24,79.5,89.8,64.8,89.8,69.7,44.5,0,2,37.5,3,0,2,79.2,2,13,334,15,3,2,0,2,5,0.2,1.0
Jason Pierre-Paul,5540,ED,BLT,15,0,2.4,100.0,4.9,3.0,3.0,1,0,0,0.0,3,59.1,56.5,63.9,56.0,58.7,40.4,1,24,42.9,3,0,2,69.6,5,17,347,6,4,5,0,51,39,3.4,10.2
Kareem Jackson,5545,S,DEN,17,5,8.0,69.0,99.7,22.9,15.8,0,1,5,11.9,10,60.9,64.5,76.7,56.7,71.3,57.4,0,23,16.0,8,3,1,116.1,29,706,708,9,37,42,4,249,92,0.4,8.6
Devin McCourty,5552,S,NE,17,3,17.3,57.1,99.6,54.2,31.0,0,3,4,19.0,19,67.6,70.0,88.4,53.8,74.8,90.0,4,54,4.2,2,4,0,95.5,12,680,683,5,43,21,3,231,44,0.4,19.3
Jerry Hughes,5556,ED,HST,17,0,,,0.8,,,2,0,0,,13,68.1,71.4,54.5,71.3,59.7,25.6,1,,77.8,7,0,4,0.0,0,3,384,10,2,0,0,0,0,0.0,
Carlos Dunlap,5579,ED,KC,20,1,8.5,100.0,4.5,10.5,10.5,0,0,0,0.0,16,53.2,64.7,91.2,61.0,67.9,45.4,0,9,33.3,3,0,1,102.1,2,21,465,8,5,2,0,17,0,0.8,8.5
Corey Peters,5607,DI,JAX,14,1,,,0.7,,,0,0,0,,15,63.5,63.1,64.3,61.0,61.8,76.8,0,,0.0,0,0,1,0.0,0,1,153,1,2,0,0,0,0,0.0,
Al Woods,5646,DI,SEA,15,0,,,1.2,,,0,0,0,,29,59.3,69.9,69.0,66.3,67.8,53.0,0,,0.0,0,0,1,0.0,0,2,169,3,2,0,0,0,0,0.0,
Von Miller,6154,ED,BUF,11,0,,,1.3,,,0,0,0,,4,74.2,85.8,26.0,81.8,78.8,53.2,0,,40.0,2,0,4,0.0,0,4,315,11,3,0,0,0,0,0.0,
Patrick Peterson,6157,CB,MIN,18,2,12.1,60.0,99.3,14.6,8.8,1,0,12,15.0,18,79.7,77.8,70.1,57.2,63.9,78.4,5,38,7.0,4,9,6,77.3,48,741,746,12,51,80,5,584,198,0.8,12.2
J.J. Watt,6163,DI,ARZ,16,1,-1.0,100.0,0.6,3.0,3.0,0,0,0,0.0,1,64.5,68.3,28.1,72.8,60.8,48.4,0,5,33.3,1,0,8,87.5,1,3,526,14,1,1,0,5,6,1.7,5.0
Robert Quinn,6166,ED,PHI,16,1,0.5,100.0,3.6,4.0,4.0,2,0,0,0.0,24,66.3,45.0,32.4,57.2,38.2,40.7,0,13,0.0,0,0,4,104.2,2,9,253,2,1,2,0,18,17,2.3,9.0
Cameron Jordan,6176,ED,NO,16,1,0.0,0.0,2.7,,12.0,0,0,1,100.0,20,85.5,74.5,73.2,53.2,82.0,51.4,0,,33.3,3,1,2,39.6,0,13,481,9,5,1,0,0,0,0.0,
Justin Houston,6222,ED,BLT,15,1,,,7.3,,,0,0,0,,3,67.7,77.1,55.9,75.4,66.4,31.7,1,,50.0,4,0,2,0.0,0,24,330,12,3,0,0,0,0,0.0,
Chris Harris Jr.,6457,CB,NO,10,1,6.9,78.0,91.9,6.6,5.1,0,0,1,2.4,20,47.8,50.1,37.4,66.3,60.3,56.6,0,62,9.1,2,1,4,110.5,32,226,246,7,19,41,1,351,146,1.7,11.0
Josh Bynes,6503,LB,BLT,7,3,3.9,58.3,84.4,17.0,9.9,0,0,1,8.3,3,69.9,54.2,80.9,58.5,38.1,62.3,1,22,14.3,2,1,0,72.6,7,124,147,3,9,12,1,83,56,0.7,11.9
Nick Bellore,6515,FB,SEA,1,0,,,50.0,,,0,0,0,,29,60.0,80.8,65.9,60.0,74.9,71.7,0,,,0,0,0,0.0,0,1,2,0,0,0,0,0,0,0.0,
Mario Addison,6558,ED,HST,12,0,-3.0,0.0,0.5,,1.0,0,0,0,0.0,13,64.1,57.8,88.9,59.4,50.7,68.1,0,,0.0,0,0,0,39.6,0,1,207,1,1,1,0,0,0,0.0,
Stephon Gilmore,7016,CB,IND,16,2,9.3,63.4,100.0,10.9,6.9,0,1,12,14.6,14,81.1,79.1,68.6,,65.6,70.3,2,53,6.0,3,8,4,82.6,52,599,599,10,45,82,2,585,233,1.0,11.3
Bruce Irvin,7021,ED,SEA,12,0,-2.0,100.0,12.6,9.3,9.3,0,0,0,0.0,29,58.9,58.9,34.9,54.7,66.8,36.3,0,6,55.6,5,0,3,84.7,3,28,223,7,4,3,0,13,19,0.5,4.3
Melvin Ingram III,7024,ED,MIA,18,1,2.0,88.9,16.5,7.4,6.6,1,0,0,0.0,17,49.1,71.0,18.2,78.9,66.0,35.0,0,19,40.0,2,0,6,99.5,8,64,389,9,2,9,0,71,56,1.2,8.9
Chandler Jones,7027,ED,LV,15,3,3.5,100.0,6.9,5.5,5.5,1,0,1,16.7,23,59.7,63.8,69.1,60.4,65.5,37.7,0,14,18.2,2,0,2,102.1,6,35,507,6,6,6,0,51,30,1.5,8.5
Janoris Jenkins,7043,CB,SF,3,0,8.3,100.0,100.0,9.0,9.0,0,0,0,0.0,28,56.9,57.9,76.8,,60.8,37.6,0,18,25.0,1,0,0,111.5,4,39,39,0,3,4,0,43,10,1.2,10.8
Bobby Wagner,7050,LB,LA,17,11,1.8,77.1,82.4,13.8,10.6,0,0,3,6.3,26,77.9,90.7,87.5,79.6,91.1,91.0,2,49,3.8,2,3,1,92.4,37,529,642,19,39,48,1,420,332,0.8,11.4
Lavonte David,7060,LB,TB,18,11,4.5,81.7,91.8,9.0,7.4,0,1,5,6.1,30,88.0,85.1,68.6,65.0,76.9,74.2,0,38,6.8,5,5,2,98.3,67,638,695,33,57,82,1,543,278,0.9,8.1
Casey Hayward Jr.,7064,CB,ATL,6,1,12.0,57.1,100.0,14.1,8.0,0,0,3,10.7,2,65.6,64.7,83.4,,55.2,33.7,1,40,23.5,4,2,0,80.2,16,236,236,1,12,28,1,225,68,1.0,14.1
Demario Davis,7079,LB,NO,17,11,2.8,73.8,89.4,17.8,13.1,0,0,5,11.9,20,79.8,82.7,71.6,85.9,73.6,56.0,1,26,18.4,7,4,1,96.9,31,584,653,18,20,42,2,276,209,0.5,8.9
Akiem Hicks,7090,DI,TB,12,0,0.0,100.0,0.8,2.0,2.0,0,0,0,0.0,30,58.5,61.8,40.3,59.9,65.6,36.3,0,7,0.0,0,0,3,95.8,1,2,253,3,2,1,0,7,7,3.5,7.0
Rodney McLeod,7271,S,IND,17,7,7.5,64.4,98.0,14.4,9.3,0,0,7,11.9,14,85.3,80.1,83.5,60.6,66.8,77.2,2,28,10.2,5,6,2,94.8,38,578,590,13,37,59,5,353,237,0.6,9.3
Michael Thomas,7279,S,CIN,3,0,,,88.2,,,0,0,0,,7,64.3,58.6,73.9,57.6,51.0,80.6,0,,0.0,0,0,0,0.0,0,15,17,0,1,0,0,0,0,0.0,
Tashaun Gipson Sr.,7288,S,SF,20,2,13.1,59.4,98.6,38.3,22.7,0,5,4,12.5,28,60.7,69.7,90.5,55.9,89.9,90.8,5,40,5.1,2,3,0,53.0,19,768,779,4,35,32,0,315,86,0.4,16.6
