player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Thomas Davis Sr.,2231,LB,WAS,7,0,0,32,50.9,0,0,5,6.8,0.0,0,0,0.0,0,74,5,0,0,55.3,0,0,2,6.5,0.0,0,0.0,0,31,2,0
Johnathan Joseph,2969,CB,ARZ,11,0,0,1,55.7,0,0,4,1.5,0.0,0,1,0.0,0,264,4,0,0,58.8,0,0,1,1.0,0.0,0,0.0,0,96,1,0
Domata Peko Sr.,3068,DI,ARZ,6,0,0,1,56.8,0,2,75,98.8,6.7,5,0,1.3,0,81,80,2,0,52.5,0,1,25,100.0,8.0,2,2.0,0,29,29,1
Tramon Williams,3558,CB,GB,7,0,0,12,59.6,1,0,11,8.0,0.0,0,0,4.5,0,138,11,1,0,70.1,1,0,4,8.0,0.0,0,12.5,0,50,4,1
Calais Campbell,4364,DI,BLT,14,6,0,3,73.0,4,18,303,97.3,12.2,37,3,4.6,3,332,323,25,3,68.8,1,12,131,98.0,13.7,18,6.5,2,151,148,15
Matthew Slater,4467,WR,NE,2,0,0,19,60.0,0,0,1,50.0,0.0,0,0,0.0,0,2,1,0,0,,0,0,0,,,0,,0,0,0,0
Malcolm Jenkins,4937,S,NO,18,0,1,20,61.2,5,12,89,12.5,11.2,10,7,12.9,3,737,92,20,0,48.6,1,5,40,12.7,10.0,4,12.5,2,322,41,8
Jason McCourty,5127,CB,NE,16,0,0,19,51.8,0,0,5,1.2,0.0,0,3,0.0,0,421,5,0,0,55.5,0,0,2,1.2,0.0,0,0.0,0,171,2,0
Steve McLendon,5232,DI,TB,18,0,0,30,62.2,3,11,257,98.6,8.2,21,2,2.7,0,281,277,14,0,62.3,3,5,73,97.5,15.1,11,5.5,0,80,78,8
Ndamukong Suh,5527,DI,TB,20,1,1,30,63.7,15,39,666,98.9,11.1,74,9,5.3,8,711,703,62,1,69.9,8,32,310,99.4,17.1,53,9.0,8,336,334,48
Tyson Alualu,5535,DI,PIT,16,5,0,25,78.4,3,8,244,100.0,10.2,25,1,3.1,2,260,260,13,3,89.7,3,6,117,100.0,15.4,18,5.6,2,123,123,11
Brandon Graham,5538,ED,PHI,16,0,0,24,80.8,9,39,407,97.3,17.4,71,4,7.9,8,441,429,56,0,90.7,5,20,140,96.8,27.1,38,12.5,5,156,151,30
Jason Pierre-Paul,5540,ED,TB,20,5,0,30,71.9,6,46,709,89.9,10.4,74,8,5.5,13,832,748,65,2,80.4,4,35,316,93.7,16.5,52,9.0,9,363,340,48
Kareem Jackson,5545,S,DEN,16,0,0,10,48.4,0,1,4,0.9,0.0,0,1,12.5,0,672,6,1,0,50.8,0,1,2,1.4,0.0,0,25.0,0,289,4,1
Devin McCourty,5552,S,NE,16,0,0,19,47.3,0,1,12,2.4,0.0,0,1,4.2,0,549,13,1,0,52.5,0,1,4,1.9,0.0,0,12.5,0,209,4,1
Jerry Hughes,5556,ED,BUF,18,2,3,4,86.5,6,52,432,93.4,20.1,87,5,8.6,8,486,454,66,0,90.2,5,34,199,92.1,30.7,61,12.3,5,227,209,44
Patrick Robinson,5557,CB,NO,8,0,0,20,57.9,0,0,1,0.6,0.0,0,2,0.0,0,159,1,0,0,57.9,0,0,1,1.2,0.0,0,0.0,0,81,1,0
Linval Joseph,5571,DI,LAC,16,0,0,27,67.9,2,24,392,99.5,9.9,39,1,3.3,0,411,409,26,0,66.2,2,15,163,100.0,12.9,21,5.2,0,172,172,17
Carlos Dunlap,5579,ED,SEA,16,6,0,29,64.8,11,25,406,94.7,11.8,48,3,6.4,8,450,426,44,6,69.8,4,16,180,95.9,17.2,31,8.9,6,196,188,26
Sean Lee,5580,LB,DAL,9,0,0,9,53.4,1,0,3,3.4,33.3,1,0,16.7,0,87,3,1,0,55.1,1,0,2,6.7,50.0,1,25.0,0,30,2,1
Corey Peters,5607,DI,ARZ,9,0,1,1,64.7,2,10,219,99.2,7.8,17,2,3.7,2,238,236,14,0,64.0,1,8,100,100.0,12.0,12,5.5,1,111,111,10
Everson Griffen,5624,ED,DET,14,3,0,11,73.6,7,19,290,96.1,15.2,44,5,6.9,7,332,319,33,0,75.4,4,11,130,98.6,21.5,28,9.6,5,143,141,20
Geno Atkins,5643,DI,CIN,8,0,0,7,61.4,0,3,104,100.0,9.6,10,1,1.4,0,107,107,3,0,64.1,0,3,55,100.0,14.5,8,2.7,0,57,57,3
Sherrick McManis,5667,S,CHI,7,0,0,6,60.0,0,0,1,4.2,0.0,0,0,0.0,0,24,1,0,0,,0,0,0,0.0,,0,,0,7,0,0
Anthony Levine,6013,S,BLT,6,0,1,3,60.0,0,0,1,4.0,0.0,0,1,0.0,0,25,1,0,0,,0,0,0,0.0,,0,,0,4,0,0
Andrew Sendejo,6118,S,CLV,16,0,0,8,60.8,0,0,5,0.8,20.0,1,2,0.0,0,630,5,0,0,67.9,0,0,2,0.7,50.0,1,0.0,0,290,2,0
Patrick Peterson,6157,CB,ARZ,16,0,4,1,52.5,0,0,4,0.6,0.0,0,12,0.0,0,695,4,0,0,,0,0,0,0.0,,0,,0,323,0,0
