player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Julius Peppers,1010,ED,CAR,17,0,0,5,63.9,5,16,349,98.1,9.7,34,1,6.7,13,376,369,34,0,70.8,4,12,171,96.8,14.0,24,9.9,9,189,183,25
Dwight Freeney,1019,ED,DET,9,1,0,11,69.9,2,14,182,99.0,14.8,27,0,6.0,3,200,198,19,0,72.5,2,10,90,100.0,21.1,19,10.0,3,103,103,15
James Harrison,1251,ED,NE,9,0,0,19,80.3,4,9,79,68.0,24.1,19,0,13.3,4,122,83,17,0,85.5,3,6,33,79.1,33.3,11,22.7,3,43,34,12
Terence Newman,1321,CB,MIN,18,0,0,18,58.1,0,2,13,3.3,7.7,1,1,7.7,0,419,14,2,0,55.9,0,0,2,1.1,0.0,0,0.0,0,181,2,0
Terrell Suggs,1326,ED,BLT,16,3,1,3,73.5,8,57,493,97.4,17.2,85,5,9.0,12,539,525,77,0,78.5,5,38,235,97.7,23.4,55,13.4,10,261,255,53
Karlos Dansby,1754,LB,ARZ,16,0,0,1,66.3,2,8,63,12.3,11.1,7,1,9.5,1,560,69,11,0,64.3,0,5,38,16.2,13.2,5,9.2,1,253,41,6
Mike Adams,1972,S,CAR,17,0,0,5,58.5,2,3,36,5.3,11.1,4,3,6.9,0,678,36,5,0,61.0,1,0,13,4.1,15.4,2,3.8,0,314,13,1
Thomas Davis Sr.,2231,LB,CAR,16,0,1,5,66.9,3,17,117,22.6,17.9,21,4,10.3,2,554,125,22,0,66.9,1,11,62,27.6,24.2,15,11.3,1,246,68,13
Derrick Johnson,2232,LB,KC,16,0,0,16,47.1,0,4,35,6.7,5.7,2,0,8.6,1,549,37,5,0,51.9,0,3,19,9.0,10.5,2,13.2,1,223,20,4
Lorenzo Alexander,2476,ED,BUF,17,0,0,4,64.2,12,16,197,50.2,16.2,32,3,9.1,4,412,207,32,0,67.6,8,13,130,73.3,17.7,23,11.2,4,187,137,25
Ahmad Brooks,2945,ED,GB,12,2,0,12,55.4,4,10,199,98.6,8.0,16,4,4.5,2,213,210,16,1,59.2,2,7,103,99.1,11.7,12,5.3,1,109,108,10
Haloti Ngata,2957,DI,DET,5,1,0,11,75.5,1,4,82,97.8,11.0,9,1,5.5,2,93,91,7,0,80.4,1,4,38,100.0,18.4,7,11.8,2,43,43,7
Tamba Hali,2965,ED,KC,6,0,0,16,57.9,1,6,80,98.9,8.8,7,0,4.4,0,90,89,7,0,56.0,0,3,42,100.0,9.5,4,3.6,0,48,48,3
Johnathan Joseph,2969,CB,HST,16,0,4,13,56.2,0,1,2,0.4,0.0,0,8,25.0,0,488,2,1,0,,0,0,0,0.0,,0,,0,229,0,0
Darryl Tapp,3008,ED,TB,3,0,0,30,54.4,0,0,27,100.0,3.7,1,0,3.7,1,30,30,1,0,53.1,0,0,5,100.0,0.0,0,0.0,0,5,5,0
Frostee Rucker,3036,DI,ARZ,16,1,1,1,55.7,7,9,339,99.7,6.2,21,4,2.9,2,362,361,18,0,57.8,4,5,144,100.0,9.0,13,4.5,2,156,156,11
Domata Peko Sr.,3068,DI,DEN,14,0,0,10,56.5,0,4,201,100.0,4.0,8,1,1.5,1,214,214,5,0,64.0,0,3,76,100.0,7.9,6,3.3,1,81,81,4
Elvis Dumervil,3071,ED,SF,16,0,0,28,73.5,9,34,267,99.3,21.3,57,3,10.7,7,291,289,50,0,78.3,6,33,174,99.5,27.6,48,14.7,6,193,192,45
Kyle Williams,3079,DI,BUF,17,1,0,4,62.0,8,27,470,99.0,9.8,46,3,4.4,3,501,496,38,0,63.8,5,17,219,99.6,13.2,29,6.4,3,229,228,25
Antoine Bethea,3152,S,ARZ,15,0,0,1,76.5,1,1,8,1.6,25.0,2,2,25.0,1,511,8,3,0,82.3,1,1,5,1.8,40.0,2,40.0,1,274,5,3
Tom Johnson,3378,DI,MIN,18,0,1,18,61.8,9,23,516,99.6,8.1,42,5,3.5,2,544,542,34,0,69.5,7,19,251,100.0,13.5,34,6.0,2,265,265,28
Tony McDaniel,3423,DI,NO,6,1,0,20,68.7,0,0,43,100.0,4.7,2,0,0.0,0,45,45,0,1,66.8,0,0,12,100.0,0.0,0,0.0,0,13,13,0
Tramon Williams,3558,CB,ARZ,13,0,0,1,56.8,0,0,2,0.5,0.0,0,2,0.0,0,438,2,0,0,59.1,0,0,1,0.5,0.0,0,0.0,0,221,1,0
Lawrence Timmons,3631,LB,MIA,14,2,0,17,58.6,3,7,60,15.3,6.7,4,0,8.3,0,431,66,10,1,67.3,1,3,19,14.6,21.1,4,10.5,0,151,22,4
Leon Hall,3634,CB,SF,9,0,0,28,66.1,1,1,6,3.9,0.0,0,0,16.7,0,153,6,2,0,55.3,0,0,3,3.2,0.0,0,0.0,0,95,3,0
Reggie Nelson,3637,S,OAK,16,1,1,23,55.8,0,2,18,3.0,5.6,1,2,5.6,0,601,18,2,0,53.4,0,1,5,1.8,20.0,1,10.0,0,278,5,1
Alan Branch,3649,DI,NE,12,0,0,19,54.6,0,4,132,100.0,5.3,7,1,1.5,0,136,136,4,0,59.6,0,2,49,100.0,10.2,5,2.0,0,50,50,2
Paul Posluszny,3650,LB,JAX,19,0,0,15,73.7,1,2,16,6.7,25.0,4,0,21.9,2,255,17,5,0,62.1,0,1,6,7.0,33.3,2,25.0,1,100,7,2
Eric Weddle,3653,S,BLT,16,0,0,3,68.9,1,7,29,4.8,13.8,4,0,17.2,1,670,32,9,0,77.6,1,4,13,4.1,23.1,3,26.9,1,317,13,6
David Harris,3663,LB,NE,8,0,0,19,69.1,0,3,14,15.8,21.4,3,0,17.9,1,95,15,4,0,71.4,0,2,6,21.2,33.3,2,33.3,1,33,7,3
Justin Durant,3664,LB,DAL,7,0,0,9,51.4,0,1,21,23.2,4.8,1,0,2.4,0,99,23,1,0,44.6,0,0,14,43.2,0.0,0,0.0,0,37,16,0
Charles Johnson,3699,ED,CAR,12,1,0,5,54.0,2,17,230,96.4,8.7,20,5,4.6,1,251,242,20,0,57.9,1,12,113,96.7,13.3,15,6.6,1,122,118,14
Brandon Mebane,3701,DI,LAC,16,0,0,27,47.0,2,4,261,98.2,2.7,7,1,1.1,0,281,276,6,0,48.8,1,4,73,100.0,6.8,5,3.4,0,80,80,5
Brian Robison,3718,ED,MIN,17,1,0,18,59.3,4,30,414,96.2,10.4,43,1,5.3,5,446,429,39,1,65.5,3,20,212,99.1,13.7,29,7.3,4,227,225,27
Corey Graham,3784,S,PHI,17,0,0,24,66.1,0,5,10,2.6,10.0,1,1,25.0,0,387,10,5,0,55.9,0,1,2,1.0,0.0,0,25.0,0,206,2,1
William Gay,3786,CB,PIT,17,0,0,25,59.1,0,0,1,0.4,0.0,0,3,0.0,0,249,1,0,0,59.1,0,0,1,0.7,0.0,0,0.0,0,146,1,0
Chris Long,4316,ED,PHI,19,0,0,24,84.8,20,40,412,98.4,20.6,85,2,8.5,5,436,429,65,0,86.2,14,28,217,99.6,26.3,57,11.5,4,230,229,46
Dominique Rodgers-Cromartie,4330,CB,NYG,15,0,0,21,60.5,1,4,32,8.4,6.3,2,0,10.9,1,393,33,6,0,65.4,1,2,12,8.1,8.3,1,20.8,1,149,12,4
Calais Campbell,4364,ED,JAX,19,3,0,15,81.3,18,50,590,99.2,18.6,110,1,8.6,17,627,622,85,1,87.1,14,35,321,100.0,24.9,80,12.3,15,344,344,64
Pat Sims,4391,DI,CIN,14,0,0,7,67.8,1,2,104,100.0,3.8,4,2,2.4,1,119,119,4,0,52.8,0,1,35,100.0,2.9,1,1.4,0,40,40,1
Cliff Avril,4406,ED,SEA,4,0,0,29,54.9,1,4,83,95.9,9.6,8,4,4.2,1,98,94,6,0,57.6,1,4,41,98.0,14.6,6,8.5,1,50,49,6
Tyvon Branch,4414,S,ARZ,9,1,1,1,63.7,2,1,12,3.9,0.0,0,1,12.5,0,361,14,3,1,74.1,2,1,5,3.0,0.0,0,30.0,0,165,5,3
William Hayes,4417,ED,MIA,10,1,1,17,81.2,4,13,122,98.5,19.7,24,3,7.8,1,131,129,18,0,69.2,2,5,34,97.4,23.5,8,13.2,1,39,38,8
Brandon Carr,4454,CB,BLT,16,0,2,3,49.9,0,0,5,0.8,0.0,0,10,0.0,0,629,5,0,0,,0,0,0,0.0,,0,,0,303,0,0
Orlando Scandrick,4457,CB,DAL,11,1,0,9,50.9,1,3,34,9.0,0.0,0,3,5.9,0,388,35,4,0,45.7,0,1,10,7.0,0.0,0,5.0,0,158,11,1
Erik Walden,4481,ED,TEN,18,0,0,31,63.8,3,23,309,80.1,12.6,39,5,5.5,4,413,331,30,0,61.2,1,10,134,87.6,13.4,18,5.6,2,169,148,13
Ahtyba Rubin,4504,DI,ATL,13,0,0,2,63.7,1,2,72,100.0,5.6,4,1,2.1,0,77,77,3,0,60.9,1,2,20,100.0,15.0,3,7.5,0,22,22,3
Wesley Woodyard,4583,LB,TEN,18,0,0,31,62.4,4,17,135,19.4,9.6,13,1,12.2,6,743,144,27,0,58.5,1,12,65,22.4,15.4,10,11.5,1,308,69,14
Leger Douzable,4654,ED,SF,5,0,1,28,51.6,1,0,87,97.8,3.4,3,1,2.9,2,92,90,3,0,52.0,0,0,29,100.0,3.4,1,3.4,1,29,29,1
Jerrell Freeman,4888,LB,CHI,1,0,0,6,73.6,0,1,1,5.9,100.0,1,0,50.0,0,34,2,1,0,73.6,0,1,1,12.5,100.0,1,50.0,0,16,2,1
Cameron Wake,4907,ED,MIA,16,0,1,17,81.5,15,36,367,95.9,21.0,77,5,9.9,11,412,395,62,0,86.5,10,29,173,95.4,30.6,53,14.7,6,197,188,45
Brian Orakpo,4936,ED,TEN,18,0,0,31,75.0,12,41,497,81.7,14.7,73,0,7.5,11,640,523,64,0,78.3,7,27,230,90.0,19.6,45,10.9,8,279,251,42
Malcolm Jenkins,4937,S,PHI,19,0,0,24,56.9,4,5,56,7.4,10.7,6,1,9.8,1,802,59,10,0,53.0,1,0,14,4.8,0.0,0,3.6,0,336,16,1
Brian Cushing,4938,LB,HST,5,0,1,13,64.7,1,2,18,39.2,16.7,3,2,19.4,2,51,20,5,0,60.7,0,1,7,42.1,14.3,1,21.4,1,19,8,2
Robert Ayers,4941,ED,TB,12,0,0,30,84.6,17,26,342,99.5,19.0,65,2,6.9,2,366,364,45,0,85.6,14,19,175,100.0,23.4,41,9.4,0,190,190,33
Vontae Davis,4948,CB,IND,5,0,0,14,58.5,0,0,1,0.5,0.0,0,0,0.0,0,188,1,0,0,,0,0,0,0.0,,0,,0,60,0,0
Clay Matthews,4949,ED,GB,14,1,0,12,73.1,11,18,342,89.2,15.5,53,3,7.2,10,399,356,39,1,75.2,7,14,173,91.0,21.4,37,10.1,7,199,181,28
Ziggy Hood,4955,DI,WAS,15,0,0,32,54.9,1,13,245,98.9,7.3,18,2,2.9,0,265,262,14,0,57.1,0,10,91,100.0,12.1,11,5.5,0,97,97,10
Patrick Chung,4957,S,NE,19,0,0,19,60.9,3,4,37,5.4,16.2,6,2,9.5,0,738,40,7,0,65.7,3,2,19,6.6,21.1,4,13.2,0,320,21,5
