player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Calais Campbell,4364,DI,BLT,15,2,1,3,71.7,12,17,380,96.0,13.2,50,1,5.4,6,420,403,35,2,80.9,8,13,183,98.5,21.3,39,9.0,6,196,193,27
Ndamukong Suh,5527,DI,PHI,11,0,0,24,55.5,3,8,125,100.0,11.2,14,1,6.0,2,128,128,13,0,52.9,3,3,67,100.0,13.4,9,6.0,1,69,69,7
Tyson Alualu,5535,DI,PIT,17,1,0,25,58.5,2,7,142,100.0,7.0,10,2,3.9,1,150,150,10,1,61.8,2,6,72,100.0,9.7,7,5.6,0,75,75,8
Brandon Graham,5538,ED,PHI,20,1,0,24,89.8,4,37,307,96.1,22.8,70,2,11.2,14,334,321,55,0,90.8,1,21,144,96.8,31.3,45,16.0,12,158,153,34
Jason Pierre-Paul,5540,ED,BLT,15,4,1,3,56.0,0,18,312,95.1,9.0,28,2,4.2,4,347,330,22,1,56.9,0,12,146,97.5,12.3,18,6.2,3,160,156,15
Kareem Jackson,5545,S,DEN,17,0,0,10,56.7,0,0,2,0.3,0.0,0,1,0.0,0,708,2,0,0,,0,0,0,0.0,,0,,0,315,0,0
Devin McCourty,5552,S,NE,17,0,0,19,53.8,0,0,3,0.4,0.0,0,0,0.0,0,683,3,0,0,53.8,0,0,3,0.9,0.0,0,0.0,0,327,3,0
Jerry Hughes,5556,ED,HST,17,0,2,13,71.3,0,49,366,99.2,18.6,68,4,9.2,9,384,381,58,0,66.4,0,19,153,98.2,21.6,33,10.1,6,163,160,25
Linval Joseph,5571,DI,PHI,11,0,0,24,60.2,0,2,85,100.0,4.7,4,1,2.4,1,87,87,3,0,62.4,0,2,20,100.0,10.0,2,5.0,0,20,20,2
Carlos Dunlap,5579,ED,KC,20,8,0,16,61.0,11,25,412,95.5,11.9,49,1,5.6,5,465,444,41,6,59.1,7,11,196,94.7,12.2,24,6.6,4,227,215,22
