player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Eric Weddle,3653,S,LA,4,3,4.0,0,0,26,67.2,75.0,1.1,,91.0,87.7,0.0,0,1,46,46,13.0,6,7
DeSean Jackson,4363,WR,LV,1,0,,0,0,23,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Calais Campbell,4364,DI,BLT,15,12,2.1,1,0,3,70.0,80.8,87.5,69.5,77.9,52.5,6.7,3,1,190,191,11.1,21,30
Malcolm Jenkins,4937,S,NO,16,12,5.4,0,0,20,60.8,64.5,89.0,57.3,70.6,62.5,16.7,7,2,357,363,2.8,10,23
Jason McCourty,5127,S,MIA,6,3,12.4,0,0,17,73.5,72.1,81.7,54.5,59.2,60.8,28.6,4,0,114,118,0.0,0,7
Steve McLendon,5232,DI,TB,14,3,2.5,1,0,30,67.3,65.9,62.3,64.0,59.5,37.2,22.2,2,1,91,95,4.4,4,4
Ndamukong Suh,5527,DI,TB,19,9,1.8,0,1,30,57.7,52.4,50.3,54.3,57.1,49.3,14.8,4,4,220,225,5.0,11,14
Gerald McCoy,5528,DI,LV,1,0,,0,0,23,,48.2,73.2,55.2,53.3,,,0,0,4,4,0.0,0,0
Joe Haden,5532,CB,PIT,13,6,10.2,0,0,25,64.2,62.1,85.8,,48.0,48.6,25.0,5,1,245,249,0.8,2,9
Tyson Alualu,5535,DI,PIT,2,2,2.7,0,0,25,,59.7,78.7,59.4,58.2,40.8,16.7,1,0,17,17,5.9,1,3
Brandon Graham,5538,ED,PHI,2,0,0.5,0,0,24,,62.6,79.9,60.6,61.0,25.6,50.0,2,0,18,18,5.6,1,2
Jason Pierre-Paul,5540,ED,TB,14,4,1.5,0,0,30,65.6,45.3,46.5,52.0,38.6,57.0,7.7,1,4,198,200,3.0,6,8
