player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Calais Campbell,4364,DI,BLT,15,11,3.5,1,0,3,57.1,76.9,75.7,71.7,74.1,34.9,9.1,3,1,160,163,6.9,11,19
Ndamukong Suh,5527,DI,PHI,11,2,1.4,0,0,24,,63.6,83.2,55.5,67.1,58.7,0.0,0,1,93,96,7.5,7,9
Tyson Alualu,5535,DI,PIT,17,2,2.6,0,0,25,60.0,30.4,38.8,58.5,29.1,42.5,9.1,1,2,139,141,3.6,5,8
Brandon Graham,5538,ED,PHI,20,2,1.1,0,0,24,79.5,89.8,64.8,89.8,69.7,44.5,23.8,5,2,187,190,7.0,13,14
Jason Pierre-Paul,5540,ED,BLT,15,2,2.6,1,0,3,59.1,56.5,63.9,56.0,58.7,40.4,10.0,2,2,204,208,4.4,9,16
Kareem Jackson,5545,S,DEN,17,17,6.3,0,0,10,60.9,64.5,76.7,56.7,71.3,57.4,18.6,11,1,407,429,3.2,13,31
Devin McCourty,5552,S,NE,17,8,11.6,0,0,19,67.6,70.0,88.4,53.8,74.8,90.0,7.1,2,0,407,414,0.7,3,18
Jerry Hughes,5556,ED,HST,17,6,1.5,2,0,13,68.1,71.4,54.5,71.3,59.7,25.6,34.6,9,4,305,305,2.3,7,11
Linval Joseph,5571,DI,PHI,11,10,2.6,0,0,24,60.0,59.1,55.1,60.2,59.2,50.0,9.1,2,1,129,131,5.4,7,10
Carlos Dunlap,5579,ED,KC,20,8,2.7,0,0,16,53.2,64.7,91.2,61.0,67.9,45.4,8.8,3,1,204,210,8.3,17,23
Corey Peters,5607,DI,JAX,14,5,1.4,0,0,15,63.5,63.1,64.3,61.0,61.8,76.8,0.0,0,1,151,154,7.3,11,14
Al Woods,5646,DI,SEA,15,10,1.8,0,0,29,59.3,69.9,69.0,66.3,67.8,53.0,10.0,4,1,233,236,8.2,19,26
Von Miller,6154,ED,BUF,11,1,1.9,0,0,4,74.2,85.8,26.0,81.8,78.8,53.2,15.4,2,4,134,135,7.5,10,10
Patrick Peterson,6157,CB,MIN,18,1,9.2,1,0,18,79.7,77.8,70.1,57.2,63.9,78.4,5.9,1,6,421,430,1.2,5,15
J.J. Watt,6163,DI,ARZ,16,3,0.3,0,0,1,64.5,68.3,28.1,72.8,60.8,48.4,11.5,3,8,284,290,6.3,18,20
Robert Quinn,6166,ED,PHI,16,3,2.5,2,0,24,66.3,45.0,32.4,57.2,38.2,40.7,21.4,3,4,161,164,1.9,3,8
Cameron Jordan,6176,ED,NO,16,13,1.6,0,0,20,85.5,74.5,73.2,53.2,82.0,51.4,10.7,6,2,298,309,8.7,26,37
Cameron Heyward,6183,DI,PIT,17,16,2.5,0,0,25,68.4,89.8,78.0,78.5,78.2,68.4,3.5,2,3,297,303,10.4,31,39
Justin Houston,6222,ED,BLT,15,1,1.8,0,0,3,67.7,77.1,55.9,75.4,66.4,31.7,33.3,3,2,90,93,4.4,4,5
Lawrence Guy,6385,DI,NE,14,20,2.4,0,0,19,62.9,53.5,86.6,54.4,51.4,54.0,6.1,3,0,259,265,6.9,18,26
Chris Harris Jr.,6457,CB,NO,9,2,6.1,0,0,20,47.8,50.1,37.4,66.3,60.3,56.6,0.0,0,4,126,129,1.6,2,7
Josh Bynes,6503,LB,BLT,7,1,4.2,0,0,3,69.9,54.2,80.9,58.5,38.1,62.3,12.5,2,0,121,122,5.0,6,13
Nick Bellore,6515,FB,SEA,3,1,,0,0,29,60.0,80.8,65.9,60.0,74.9,71.7,0.0,0,0,8,8,0.0,0,0
Mario Addison,6558,ED,HST,12,5,1.6,0,1,13,64.1,57.8,88.9,59.4,50.7,68.1,7.1,1,0,155,160,4.5,7,8
Stephon Gilmore,7016,CB,IND,16,2,9.1,0,0,14,81.1,79.1,68.6,,65.6,70.3,15.0,3,4,452,465,0.4,2,15
Fletcher Cox,7018,DI,PHI,20,13,3.2,0,0,24,,60.2,79.7,63.3,53.5,43.8,11.6,5,1,298,301,5.0,15,25
Michael Brockers,7020,DI,DET,6,0,2.3,0,0,11,,51.3,81.3,55.2,50.4,37.2,0.0,0,0,62,62,4.8,3,4
Bruce Irvin,7021,ED,SEA,12,6,2.2,0,0,29,58.9,58.9,34.9,54.7,66.8,36.3,11.1,3,3,211,213,6.2,13,18
Melvin Ingram III,7024,ED,MIA,18,3,1.7,1,0,17,49.1,71.0,18.2,78.9,66.0,35.0,23.1,3,6,143,147,3.5,5,7
Chandler Jones,7027,ED,LV,15,9,2.3,1,1,23,59.7,63.8,69.1,60.4,65.5,37.7,20.0,7,2,274,276,4.7,13,19
Janoris Jenkins,7043,CB,SF,3,0,,0,0,28,56.9,57.9,76.8,,60.8,37.6,,0,0,10,10,0.0,0,0
Bobby Wagner,7050,LB,LA,17,33,2.8,0,0,26,77.9,90.7,87.5,79.6,91.1,91.0,2.4,2,1,419,437,7.4,31,50
Lavonte David,7060,LB,TB,18,19,2.9,0,0,30,88.0,85.1,68.6,65.0,76.9,74.2,9.1,6,2,436,448,6.7,29,41
Vinny Curry,7061,ED,NYJ,11,5,2.9,0,0,22,60.0,52.6,57.5,58.9,50.2,42.3,18.8,3,1,86,90,7.0,6,8
Casey Hayward Jr.,7064,CB,ATL,6,0,24.0,0,0,2,65.6,64.7,83.4,,55.2,33.7,25.0,1,0,115,119,0.9,1,3
Demario Davis,7079,LB,NO,17,27,4.0,0,0,20,79.8,82.7,71.6,85.9,73.6,56.0,12.5,10,1,464,479,5.4,25,43
Akiem Hicks,7090,DI,TB,12,5,1.9,0,0,30,58.5,61.8,40.3,59.9,65.6,36.3,16.0,4,3,184,189,8.2,15,16
Rodney McLeod,7271,S,IND,17,14,5.7,0,0,14,85.3,80.1,83.5,60.6,66.8,77.2,4.3,2,2,431,444,3.5,15,30
Michael Thomas,7279,S,CIN,2,0,7.0,0,0,7,64.3,58.6,73.9,57.6,51.0,80.6,0.0,0,0,9,9,0.0,0,1
Tashaun Gipson Sr.,7288,S,SF,20,10,6.6,0,0,28,60.7,69.7,90.5,55.9,89.9,90.8,0.0,0,0,432,442,1.4,6,19
Brandon Bolden,7469,HB,LV,1,0,,0,0,23,,60.0,60.0,,60.0,,,0,1,1,1,0.0,0,0
Harrison Smith,7641,S,MIN,15,5,9.4,1,0,18,69.1,68.4,89.1,55.4,64.0,78.5,18.2,6,1,339,345,1.2,4,22
Josh Norman,7649,CB,CAR,2,1,4.5,0,0,5,51.7,54.0,78.4,,60.6,79.6,0.0,0,0,38,39,2.6,1,2
Justin Bethel,7654,CB,MIA,6,0,5.5,0,0,17,52.9,51.4,79.6,,47.9,57.3,33.3,2,1,20,23,0.0,0,4
Xavier Rhodes,7806,CB,DAL,3,0,6.0,0,0,9,56.2,54.8,79.7,,45.5,54.2,50.0,1,0,25,25,0.0,0,1
Darius Slay,7817,CB,PHI,20,4,12.5,0,0,24,77.3,73.1,88.1,,46.0,57.4,21.7,5,3,425,432,1.2,5,14
Johnathan Hankins,7830,DI,DAL,12,6,1.9,1,0,9,62.4,46.5,40.3,50.8,49.7,28.4,16.0,4,2,147,152,7.5,11,15
Jon Bostic,7831,LB,WAS,9,4,4.1,0,0,32,53.4,48.2,81.3,50.6,47.7,64.6,6.3,1,0,110,113,5.5,6,11
Jamie Collins Sr.,7833,LB,NE,3,1,,0,0,19,50.1,64.2,77.7,56.1,71.1,70.5,0.0,0,0,27,28,0.0,0,0
Tyrann Mathieu,7850,S,NO,17,13,9.1,0,1,20,87.9,81.2,86.6,70.7,62.9,65.4,11.3,6,2,463,477,2.4,11,34
John Jenkins,7863,DI,MIA,17,6,2.3,0,0,17,59.8,58.5,60.8,67.7,52.3,65.5,5.0,1,1,124,127,6.5,8,13
Logan Ryan,7864,S,TB,10,3,9.6,0,1,30,63.2,67.1,85.8,51.4,75.4,82.4,5.9,1,0,149,154,3.4,5,13
Duron Harmon,7872,S,LV,17,12,8.6,0,1,23,77.6,72.3,87.5,53.8,59.8,66.6,20.0,7,0,411,418,1.0,4,16
Brandon Williams,7875,DI,KC,8,1,,0,0,16,59.2,51.5,81.2,55.2,50.8,69.2,0.0,0,0,47,47,0.0,0,0
Akeem Spence,7882,DI,SF,7,5,5.0,0,0,28,59.5,43.3,81.7,46.3,47.5,35.2,20.0,2,0,69,70,2.9,2,3
