player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Derrick Henry,10679,HB,TEN,16,349,69,15,27.6,424,0,1534,4,6,69,1257,70.7,37,67,31,6,147,46.9,85.9,56.9,66.1,66.9,46.8,86.7,79.7,56,1,398,33,191,383,0,0,39,382,13,1534,1257,3.6,4.4,2.08,197
Josh Jacobs,45953,HB,LV,17,339,90,15,23.4,386,0,1652,3,5,90,1154,82.5,41,94,23,3,201,73.8,91.6,86.6,,56.3,64.8,91.9,67.3,86,0,400,53,341,374,1,1,61,392,12,1653,1156,3.4,4.9,1.17,93
Saquon Barkley,45791,HB,NYG,18,313,41,21,37.3,532,0,1426,6,9,41,862,36.5,35,66,21,1,170,89.5,80.3,91.0,,71.3,58.4,84.9,56.2,68,0,415,64,442,404,0,0,82,377,12,1426,862,2.75,4.6,0.94,134
Nick Chubb,45783,HB,CLV,17,302,83,23,34.6,527,0,1525,1,9,83,1050,97.2,47,69,8,1,160,87.7,90.3,87.8,,61.8,58.5,90.7,55.7,41,0,239,27,254,336,0,0,33,329,12,1525,1050,3.48,5.0,0.94,126
Miles Sanders,40555,HB,PHI,20,294,52,13,21.6,306,0,1419,2,5,52,856,52.7,39,69,24,3,123,66.7,71.1,91.3,,37.7,35.4,79.3,55.7,40,0,81,21,294,398,0,0,28,315,13,1419,856,2.91,4.8,0.28,166
Christian McCaffrey,11763,HB,SF,20,284,48,16,32.5,447,0,1377,3,21,48,878,56.0,33,73,28,1,110,89.4,90.4,91.3,85.0,51.8,92.4,82.1,55.6,68,0,802,97,479,360,0,0,116,381,10,1377,878,3.09,4.8,1.67,169
Dalvin Cook,11796,HB,MIN,18,280,52,12,27.7,344,0,1243,4,11,52,885,61.3,31,52,18,4,76,56.9,68.1,71.1,60.0,49.2,62.2,72.4,57.3,81,1,305,45,423,308,0,0,58,325,8,1243,885,3.16,4.4,0.72,192
Najee Harris,57121,HB,PIT,17,272,55,7,13.0,135,0,1038,4,13,55,746,59.6,20,45,25,3,84,76.0,73.5,63.6,60.0,64.4,61.9,75.2,47.5,36,1,229,41,297,341,0,0,53,313,7,1038,746,2.74,3.8,0.77,181
Jamaal Williams,11889,HB,DET,17,262,30,7,18.9,201,0,1066,3,2,30,729,32.5,22,65,11,3,153,62.1,73.4,44.3,,72.3,39.7,75.6,46.4,58,1,73,12,119,275,0,0,16,274,17,1066,729,2.78,4.1,0.61,107
Ezekiel Elliott,10638,HB,DAL,17,254,33,8,18.0,167,0,929,3,1,33,687,33.6,17,57,9,0,112,91.2,68.3,89.0,,61.1,38.4,72.9,75.4,27,0,108,20,274,295,0,0,28,274,12,929,687,2.7,3.7,0.39,130
